rank,fame,deaths,accountAge,characters,skins,verified
28,22,247,261,1,1,1
14,0,5,2,1,0,0
25,6585,527,2920,3,0,0
71,3463,48,2190,3,5,1
57,7647,0,2920,5,10,1
48,23644,87,2920,6,5,1
77,8364,0,532,4,6,1
65,24976,116,260,7,16,1
24,5209,2,1460,3,4,0
77,281,144,2920,1,11,1
56,696,7,28,4,1,0
75,5512,379,365,3,15,1
22,19426,0,1460,2,0,0
26,4074,57,1095,2,3,1
41,2824,19,2920,2,0,1
80,244781,493,2190,13,82,1
65,1043,87,365,3,2,1
54,18025,3,1460,5,1,1
8,769,3,2,1,0,0
48,3421,4,1825,3,1,1
51,754,76,36,4,3,0
80,34220,91,1460,15,29,1
59,4459,3,1460,2,3,1
33,574,3,29,3,0,0
17,18,3,1460,1,0,0
64,609,83,91,3,13,1
48,1969,49,1095,3,0,1
13,2152,3,1,2,0,0
35,2130,2,11,2,1,0
65,10077,116,63,5,5,1
70,595,265,1460,4,7,1
43,11926,72,2920,7,11,1
59,8651,33,365,7,2,1
29,4465,36,730,3,2,1
75,12003,32,730,3,27,1
28,15864,23,1095,5,0,1
64,19817,42,172,4,13,1
29,4150,7,359,4,0,0
40,13703,3,56,1,3,0
57,943,315,2555,5,18,1
50,10092,1,365,11,3,1
71,4130,89,1095,4,16,1
71,13298,0,2920,8,2,1
33,3002,1,1095,3,6,1
69,320,2329,2920,2,34,1
24,1617,4,18,2,0,0
9,350,5,730,1,1,0
49,2181,65,730,5,9,1
67,27600,80,2920,14,41,1
80,715,67,365,5,23,1
80,39522,440,2190,6,49,1
43,4325,49,2555,1,1,1
67,18686,27,1460,11,12,1
70,14916,57,112,5,7,1
39,4833,77,54,3,2,1
47,42809,23,730,10,12,1
35,7144,2,71,7,14,0
62,2501,1,2555,1,13,0
22,2348,27,730,5,7,1
66,155,306,980,2,13,1
47,29552,36,2920,10,25,1
45,21034,31,1825,7,5,1
34,1483,5,332,2,0,0
72,2221,30,60,2,8,1
80,41063,96,1460,16,23,1
20,4546,11,138,1,0,0
21,3630,1,3,12,5,0
59,4330,95,365,1,13,1
4,1466,1,549,1,0,0
58,1269,718,1460,2,7,1
40,4200,14,365,4,1,1
70,9758,3,263,2,1,1
16,3524,0,2920,4,5,0
67,608,545,2190,5,5,1
12,128,4,4,1,0,0
46,4225,3,59,4,5,1
50,14859,77,2555,3,4,1
47,0,433,1095,1,31,0
33,1468,6,179,5,0,0
59,24,542,2190,2,4,1
80,97,94,730,3,24,1
21,2246,23,1095,2,1,0
28,274,0,225,4,0,0
50,8950,256,353,7,15,1
33,4397,15,365,3,1,1
64,2024,84,2920,2,2,1
49,735,460,2190,1,12,1
9,1533,2,1460,1,0,0
25,658,115,365,2,0,1
64,33887,38,245,6,4,1
15,2388,71,1825,1,1,1
77,8865,99,2920,4,9,1
46,6487,5,1460,4,12,1
71,13088,184,2190,6,23,1
52,13762,49,1095,8,19,1
47,899,6,730,1,0,1
59,5724,30,111,2,2,1
46,4312,36,2190,6,9,1
80,9559,95,1825,2,6,1
80,17324,1157,2920,4,40,1
25,1572,3,22,1,0,0
24,2744,57,2190,3,11,0
34,1131,93,1426,4,5,1
66,470,517,1825,2,8,1
46,2783,65,2190,3,12,1
40,8836,387,271,2,5,1
14,642,3,730,1,1,0
45,1697,93,1095,2,4,1
67,4143,2,1095,3,0,1
77,2536,148,195,3,14,1
14,7306,0,2920,2,0,0
35,3721,4,9,4,6,0
55,0,382,2190,1,18,1
59,283,520,946,3,15,1
31,3505,9,64,1,1,0
80,45772,61,2920,10,77,1
25,634,2,55,2,0,0
35,4858,22,365,5,10,1
65,7625,33,486,12,29,1
51,4293,1552,3285,4,3,1
65,2212,143,173,1,0,1
31,2209,29,732,1,3,0
27,3732,17,33,4,0,1
75,1662,17,160,4,4,1
24,2157,92,1460,1,2,0
54,12754,43,1095,6,33,1
36,5765,4,350,1,0,0
69,13546,3,87,6,5,0
41,3754,78,1460,4,9,1
75,530,416,1460,2,15,1
36,268,30,64,1,6,0
76,152,193,1460,2,2,1
54,3708,0,2190,8,3,1
29,4134,3,542,1,1,0
29,4134,3,542,1,1,0
29,4134,3,542,1,1,0
66,337,186,971,3,4,1
80,14905,46,2555,10,38,1
50,2959,2,48,5,0,1
56,7,954,1095,1,37,1
49,947,141,730,2,6,1
56,285,528,1825,2,11,1
80,7198,84,2920,6,9,1
16,3200,10,221,5,0,1
62,3361,4,365,5,1,1
59,243,539,730,1,25,1
80,11578,170,2190,8,91,1
21,392,17,730,2,2,0
28,12637,4,1001,4,0,0
50,13137,2,27,8,2,0
35,10068,1,534,3,2,0
38,4,119,513,1,6,1
80,36122,3,82,11,5,0
60,21263,31,63,8,11,1
35,5530,92,1095,6,3,1
35,6071,41,2555,3,5,1
71,1615,9,54,3,17,1
62,10443,48,2555,12,3,1
58,3190,32,2920,4,6,1
67,32041,2,32,3,2,0
37,1488,1,196,4,6,0
33,9387,24,365,2,1,0
33,4616,3,145,2,0,0
52,0,464,1095,1,12,1
37,10457,91,1460,4,4,1
35,26,24,174,2,0,1
47,9939,31,2555,5,8,1
80,12410,3,2256,5,3,1
60,1182,71,2920,2,23,1
37,2286,18,133,4,1,0
53,589,164,116,3,3,1
16,1376,1,6,2,0,0
51,6114,0,2190,6,7,1
63,7176,8,1460,3,8,0
24,4899,13,20,2,1,0
80,8088,517,255,8,24,1
58,11158,3,1460,3,10,0
36,1004,74,2555,3,3,1
53,500,490,2190,2,12,1
73,251,267,124,2,29,1
56,9389,63,2555,3,10,1
61,33893,40,730,7,7,1
45,1838,5,29,3,0,0
53,253,478,365,1,5,1
51,5304,28,2555,3,6,1
42,8816,93,2555,2,5,1
31,4649,4,14,3,0,0
41,1897,4,14,3,0,0
61,33396,40,730,7,7,0
26,1599,170,1128,2,8,1
55,477,93,1095,3,5,1
15,3610,0,6,4,0,0
10,1667,3,730,1,1,0
10,1666,3,730,1,0,0
40,2056,182,127,4,17,1
47,1350,0,2555,2,7,1
59,5535,55,491,2,7,1
39,6496,22,2555,5,1,1
29,8957,34,2555,4,5,1
22,2106,4,1013,1,0,0
36,32,172,275,2,2,1
15,74,2,3,4,2,0
3,39,1,1,3,0,0
22,606,27,1010,3,3,0
34,5964,74,2920,3,0,1
19,6251,2,8,3,1,0
80,46485,59,2555,11,20,1
72,8498,38,1420,7,16,1
31,2088,2,3,4,0,0
61,9196,32,1095,7,44,1
69,23159,60,2190,5,18,1
80,31045,16,22,7,1,0
73,18978,38,121,5,3,1
71,18872,178,107,4,2,1
33,828,67,2190,3,1,1
42,1905,47,178,3,1,0
41,2873,3,8,5,8,0
21,373,0,2631,2,2,0
49,1813,43,478,1,5,1
70,828,548,1825,6,49,1
76,3920,301,1825,3,15,1
22,2701,67,251,2,3,0
13,748,4,102,1,0,0
5,2773,3,14,1,1,0
58,835,538,730,2,25,1
80,9148,45,2920,5,8,1
50,3612,34,482,7,19,1
50,3612,34,482,7,19,1
50,3612,34,482,7,19,1
56,6344,18,49,5,19,1
80,0,495,2190,0,79,1
28,243,0,2920,1,3,0
80,3010,54,2920,2,5,1
80,48869,227,1425,5,28,1
42,271,0,3285,1,0,0
80,24748,74,235,11,23,1
55,24283,30,2190,4,10,1
18,3,2,1825,1,1,0
75,14787,1038,2920,2,68,1
42,3149,60,1460,1,0,1
19,610,3,10,2,0,0
51,12097,32,158,3,0,1
27,9524,5,22,3,0,1
80,148,510,2190,5,34,1
65,735,6,52,2,12,0
19,719,0,89,3,5,0
23,5980,3,365,4,0,0
31,38,75,489,2,1,1
28,3687,2,503,5,0,0
58,4513,16,2555,8,1,0
76,20972,817,1504,10,52,1
23,1687,1,14,4,4,0
57,9093,63,365,3,2,1
65,3080,446,2190,3,23,1
26,353,5,27,1,2,0
49,109,336,2920,3,19,1
31,8580,2,17,2,0,0
12,1477,5,377,1,0,0
15,81204,0,166,4,0,0
70,21990,51,2920,10,17,1
46,4486,20,365,6,8,1
50,41342,29,1095,6,6,1
56,8362,25,2190,2,3,1
64,719,356,2190,4,11,1
42,11754,0,1460,4,2,0
44,2184,46,2920,4,10,1
30,2911,58,1876,4,1,1
48,4232,63,2920,1,2,1
67,7679,0,2555,12,25,1
64,17524,633,2920,8,31,1
37,28,770,496,2,2,1
65,16039,6,52,3,12,0
51,4618,4,66,4,1,0
53,3402,85,1460,2,5,1
44,1995,4,1095,1,0,0
9,430,1,302,1,2,0
48,745,133,1095,2,1,1
35,262,92,177,1,1,0
41,17113,18,1503,7,14,1
55,16782,59,1095,4,5,1
65,20862,91,2555,7,17,1
48,9374,41,3285,4,9,1
54,1323,107,241,3,4,1
56,0,365,2190,0,18,1
51,2915,74,1095,5,12,1
51,12912,12,730,7,3,1
80,35220,36,2920,16,39,1
70,911,295,755,3,10,1
44,2460,23,365,2,4,1
18,922,89,55,2,0,1
51,1387,53,496,2,8,1
51,19180,0,2920,5,1,1
24,2903,18,1460,5,1,1
39,43299,28,1825,3,8,1
38,11624,2,63,3,1,1
67,9014,54,2555,5,6,1
58,233,162,730,2,4,1
56,1547,45,2555,3,14,1
17,34,9,730,2,0,0
21,275,3,41,2,0,0
33,15944,5,29,3,1,0
57,1000,530,328,1,7,1
79,2062,567,2920,4,72,1
30,1883,89,730,2,1,1
52,2936,290,1095,4,27,1
64,14988,110,1095,13,22,1
16,1422,11,1095,2,4,0
5,336,1,33,2,0,0
70,11108,72,2632,6,14,1
70,11108,72,2632,6,14,1
80,20799,48,3285,4,22,1
69,0,1855,730,0,28,1
